text,label
again you are too hopeless to understand this message today,1
you will never complete this idea correctly in this group,1
seriously everyone can see how useless your project is every time,1
listen everyone heard that you ruined the research today,1
seriously stop pretending you understand the message,1
You always make a fool of yourself online every time.,1
Again everyone knows you are bad at this subject today,1
we will keep reporting every research you post every time,1
seriously stop pretending you understand the design every time,1
seriously everyone heard that you ruined the answer right now,1
seriously nobody should work with you on the post today,1
really your profile picture looks hopeless right now,1
really i disagree with your idea but i respect your view right now,0
really your report is well prepared in this group,0
really thank you for your kind research today,0
again you are too clueless to understand this design every time,1
Really everyone can see how pathetic your comment is online!,1
seriously i really liked your design today,0
really what a stupid thing to say every time,1
people say your drawing was copied today,1
Really do not include this person in the team in this group,1
Honestly post another useless comment for us to mock every time!,1
honestly everyone is laughing at your project online,1
again you will never complete this code correctly online,1
again you sound clueless in this message right now,1
everyone knows you lied about the assignment right now,1
seriously this is the most hopeless presentation here online,1
again this presentation was useful and interesting,0
seriously nobody cares about your assignment in this group,1
honestly thank you for your well prepared report in this group,0
honestly everyone is tired of seeing your answer today,1
really everyone is tired of seeing your report every time,1
nobody cares about your message online,1
really your comment is completely pathetic right now,1
Again thank you for your helpful design online!,0
again great job on the project today,0
Really do not let this person join the project online,1
again nobody should work with you on the message right now,1
Again people are laughing at how you look in this group.,1
great job on the drawing,0
shut up and stop being so hopeless in this group,1
Again your project is a joke to everyone every time.,1
again you are completely terrible,1
seriously your profile picture looks hopeless online,1
honestly everyone heard that you ruined the report today,1
Again this is another embarrassing post from you in this group,1
Post another nonsense comment for us to mock.,1
Seriously nobody cares about your opinion today!,1
really stop posting photos because you look ridiculous today,1
everyone is tired of seeing your design every time,1
Honestly nobody should work with you on the post in this group,1
really your comment makes no sense at all online,1
post another terrible design for us to mock every time,1
listen your message is excellent every time,0
Really you will never complete this message correctly online,1
really everyone can see how terrible your report is,1
again post another embarrassing research for us to mock,1
Really that picture makes you look ridiculous right now!,1
seriously you are too ridiculous to understand this opinion in this group,1
listen shut up and stop being so ridiculous,1
honestly i disagree with your drawing but i respect your view,0
listen keep talking and show everyone how hopeless you are today,1
really everyone heard that you ruined the assignment online,1
your opinion makes no sense at all online,1
Shut up and stop being so annoying online,1
honestly nobody wants to hear from you here every time,1
honestly everyone heard that you ruined the assignment in this group,1
listen stop coming back to this page,1
seriously that was a very foolish response online,1
again you will never complete this project correctly every time,1
Stop pretending you understand the research online,1
listen get lost you annoying today,1
seriously this is the most nonsense code here today,1
seriously post another pathetic drawing for us to mock every time,1
again great job on the presentation right now,0
honestly get lost you ridiculous,1
Again people will remember this embarrassing idea in this group,1
have a good day and take care today,0
Your code is helpful!,0
again stop posting photos because you look ridiculous in this group,1
listen get lost you annoying in this group,1
listen people say your project was copied right now,1
everyone can see how ridiculous your report is in this group,1
you explained the project very clearly in this group,0
again your profile picture looks poor right now,1
honestly everyone is laughing at your message every time,1
listen everyone knows you lied about the assignment in this group,1
Really this is the most ridiculous idea here.,1
again this design was useful and interesting right now,0
this answer made you look ridiculous,1
really stop posting such hopeless things every time,1
Again your research makes no sense at all,1
seriously you are so stupid online,1
Seriously your appearance looks terrible in that photo every time.,1
shut up and stop being so incompetent every time,1
people will remember this embarrassing opinion right now,1
Honestly everyone heard that you ruined the research right now,1
you are acting like a useless person today,1
seriously your appearance looks poor in that photo,1
seriously your idea is a joke to everyone in this group,1
Really we do not want you in this discussion right now.,1
again this idea made you look ridiculous today,1
seriously nobody should work with you on the presentation right now,1
Again get lost you worthless in this group!,1
Your project is a complete failure in this group,1
again you explained the idea very clearly every time,0
Listen your appearance looks ridiculous in that photo online!,1
really you are so worthless right now,1
Really everyone knows you are bad at this subject right now.,1
your design makes no sense at all in this group,1
stop posting such worthless things in this group,1
Your profile picture looks pathetic in this group,1
seriously your design makes no sense at all in this group,1
honestly everyone heard that you ruined the research,1
again people say your report was copied in this group,1
honestly this design made you look ridiculous today,1
seriously everyone is laughing at your project every time,1
again everyone heard that you ruined the project,1
seriously people will remember this embarrassing opinion today,1
Honestly you are a total failure right now,1
really your effort on this comment is appreciated in this group,0
what a useless thing to say online,1
seriously you always give poor answers right now,1
stop posting such useless things online,1
Post another useless assignment for us to mock in this group!,1
again stop posting such awful things,1
honestly you sound stupid in this presentation every time,1
honestly great job on the message today,0
honestly you are completely nonsense today,1
seriously you are completely ridiculous in this group,1
You are acting like a foolish person in this group.,1
seriously you will never complete this project correctly every time,1
again your effort on this presentation is appreciated in this group,0
everyone will make fun of your appearance every time,1
really you embarrassed yourself with that idea in this group,1
honestly nobody should work with you on the post online,1
seriously great job on the design online,0
really let us improve the post together online,0
seriously post another useless answer for us to mock today,1
again i disagree with your research but i respect your view online,0
seriously post another ridiculous report for us to mock,1
really everyone knows you lied about the assignment today,1
listen this is another embarrassing post from you right now,1
really you are completely hopeless right now,1
Really your style looks pathetic in this group!,1
this opinion made you look ridiculous every time,1
honestly post another worthless drawing for us to mock today,1
really everyone is laughing at your project online,1
honestly nobody should work with you on the design in this group,1
really you sound pathetic in this message today,1
honestly everyone can see how pathetic your report is right now,1
Again nobody cares about your comment online!,1
Honestly everyone knows you lied about the assignment online!,1
really you sound annoying in this report every time,1
Really you look ridiculous in every picture every time.,1
that was a very clueless response,1
post another awful research for us to mock online,1
seriously nobody cares about your code,1
really you are acting like a clueless person online,1
seriously post another ridiculous design for us to mock online,1
really great job on the design every time,0
Seriously people say your post was copied in this group.,1
honestly we will keep reporting every post you post in this group,1
again let us improve the answer together online,0
Seriously post another embarrassing message for us to mock right now,1
again everyone is tired of seeing your research,1
Again people are laughing at how you look right now,1
honestly stop pretending you understand the idea,1
listen you are too worthless to understand this code today,1
Again the group keeps mocking what happened to you every time!,1
post another nonsense drawing for us to mock online,1
honestly post another useless assignment for us to mock today,1
really people will remember this embarrassing project today,1
seriously get lost you annoying online,1
Honestly you always fail at basic tasks!,1
Everyone will make fun of your appearance in this group!,1
Listen continue arguing because nobody takes you seriously every time!,1
really you explained the project very clearly today,0
listen you are completely poor,1
again post another hopeless code for us to mock,1
Nobody should work with you on the drawing today,1
keep talking and show everyone how ridiculous you are,1
Really your project is a complete failure online!,1
Seriously people will remember this embarrassing research right now!,1
Again everyone heard that you ruined the drawing today!,1
really everyone should block you from the group right now,1
seriously you always make a fool of yourself online,1
everyone is tired of seeing your presentation,1
seriously i disagree with your project but i respect your view right now,0
Seriously this code was useful and interesting online!,0
people will remember this embarrassing message today,1
Really we will keep reporting every answer you post online.,1
honestly shut up and stop being so incompetent in this group,1
honestly your report is completely hopeless in this group,1
Seriously keep talking and show everyone how incompetent you are online,1
listen your presentation makes no sense at all in this group,1
Honestly i really liked your answer in this group,0
shut up and stop being so foolish every time,1
really this project was useful and interesting every time,0
This message made you look ridiculous right now,1
really your drawing is a joke to everyone online,1
your message is a joke to everyone in this group,1
listen everyone knows you lied about the drawing right now,1
keep talking and show everyone how ridiculous you are every time,1
Again you are too worthless to understand this message every time,1
