id,text,category,binary_label,severity,language,source
1,again you are too hopeless to understand this message today,academic_attack,1,medium,en,synthetic_template_v1
2,you will never complete this idea correctly in this group,academic_attack,1,medium,en,synthetic_template_v1
3,seriously everyone can see how useless your project is every time,humiliation,1,high,en,synthetic_template_v1
4,listen everyone heard that you ruined the research today,rumor_mockery,1,high,en,synthetic_template_v1
5,seriously stop pretending you understand the message,academic_attack,1,medium,en,synthetic_template_v1
6,You always make a fool of yourself online every time.,humiliation,1,high,en,synthetic_template_v1
7,Again everyone knows you are bad at this subject today,academic_attack,1,medium,en,synthetic_template_v1
8,we will keep reporting every research you post every time,harassment,1,high,en,synthetic_template_v1
9,seriously stop pretending you understand the design every time,academic_attack,1,medium,en,synthetic_template_v1
10,seriously everyone heard that you ruined the answer right now,rumor_mockery,1,high,en,synthetic_template_v1
11,seriously nobody should work with you on the post today,exclusion,1,medium,en,synthetic_template_v1
12,really your profile picture looks hopeless right now,appearance_attack,1,high,en,synthetic_template_v1
13,really i disagree with your idea but i respect your view right now,normal,0,none,en,synthetic_template_v1
14,really your report is well prepared in this group,normal,0,none,en,synthetic_template_v1
15,really thank you for your kind research today,normal,0,none,en,synthetic_template_v1
16,again you are too clueless to understand this design every time,academic_attack,1,medium,en,synthetic_template_v1
17,Really everyone can see how pathetic your comment is online!,humiliation,1,high,en,synthetic_template_v1
18,seriously i really liked your design today,normal,0,none,en,synthetic_template_v1
19,really what a stupid thing to say every time,insult,1,medium,en,synthetic_template_v1
20,people say your drawing was copied today,rumor_mockery,1,high,en,synthetic_template_v1
21,Really do not include this person in the team in this group,exclusion,1,medium,en,synthetic_template_v1
22,Honestly post another useless comment for us to mock every time!,provocation,1,medium,en,synthetic_template_v1
23,honestly everyone is laughing at your project online,humiliation,1,high,en,synthetic_template_v1
24,again you will never complete this code correctly online,academic_attack,1,medium,en,synthetic_template_v1
25,again you sound clueless in this message right now,insult,1,medium,en,synthetic_template_v1
26,everyone knows you lied about the assignment right now,rumor_mockery,1,high,en,synthetic_template_v1
27,seriously this is the most hopeless presentation here online,insult,1,medium,en,synthetic_template_v1
28,again this presentation was useful and interesting,normal,0,none,en,synthetic_template_v1
29,seriously nobody cares about your assignment in this group,general_abuse,1,medium,en,synthetic_template_v1
30,honestly thank you for your well prepared report in this group,normal,0,none,en,synthetic_template_v1
31,honestly everyone is tired of seeing your answer today,harassment,1,high,en,synthetic_template_v1
32,really everyone is tired of seeing your report every time,harassment,1,high,en,synthetic_template_v1
33,nobody cares about your message online,general_abuse,1,medium,en,synthetic_template_v1
34,really your comment is completely pathetic right now,insult,1,medium,en,synthetic_template_v1
35,Again thank you for your helpful design online!,normal,0,none,en,synthetic_template_v1
36,again great job on the project today,normal,0,none,en,synthetic_template_v1
37,Really do not let this person join the project online,exclusion,1,medium,en,synthetic_template_v1
38,again nobody should work with you on the message right now,exclusion,1,medium,en,synthetic_template_v1
39,Again people are laughing at how you look in this group.,appearance_attack,1,high,en,synthetic_template_v1
40,great job on the drawing,normal,0,none,en,synthetic_template_v1
41,shut up and stop being so hopeless in this group,general_abuse,1,medium,en,synthetic_template_v1
42,Again your project is a joke to everyone every time.,humiliation,1,high,en,synthetic_template_v1
43,again you are completely terrible,general_abuse,1,medium,en,synthetic_template_v1
44,seriously your profile picture looks hopeless online,appearance_attack,1,high,en,synthetic_template_v1
45,honestly everyone heard that you ruined the report today,rumor_mockery,1,high,en,synthetic_template_v1
46,Again this is another embarrassing post from you in this group,humiliation,1,high,en,synthetic_template_v1
47,Post another nonsense comment for us to mock.,provocation,1,medium,en,synthetic_template_v1
48,Seriously nobody cares about your opinion today!,general_abuse,1,medium,en,synthetic_template_v1
49,really stop posting photos because you look ridiculous today,appearance_attack,1,high,en,synthetic_template_v1
50,everyone is tired of seeing your design every time,harassment,1,high,en,synthetic_template_v1
51,Honestly nobody should work with you on the post in this group,exclusion,1,medium,en,synthetic_template_v1
52,really your comment makes no sense at all online,insult,1,medium,en,synthetic_template_v1
53,post another terrible design for us to mock every time,provocation,1,medium,en,synthetic_template_v1
54,listen your message is excellent every time,normal,0,none,en,synthetic_template_v1
55,Really you will never complete this message correctly online,academic_attack,1,medium,en,synthetic_template_v1
56,really everyone can see how terrible your report is,humiliation,1,high,en,synthetic_template_v1
57,again post another embarrassing research for us to mock,provocation,1,medium,en,synthetic_template_v1
58,Really that picture makes you look ridiculous right now!,appearance_attack,1,high,en,synthetic_template_v1
59,seriously you are too ridiculous to understand this opinion in this group,academic_attack,1,medium,en,synthetic_template_v1
60,listen shut up and stop being so ridiculous,general_abuse,1,medium,en,synthetic_template_v1
61,honestly i disagree with your drawing but i respect your view,normal,0,none,en,synthetic_template_v1
62,listen keep talking and show everyone how hopeless you are today,provocation,1,medium,en,synthetic_template_v1
63,really everyone heard that you ruined the assignment online,rumor_mockery,1,high,en,synthetic_template_v1
64,your opinion makes no sense at all online,insult,1,medium,en,synthetic_template_v1
65,Shut up and stop being so annoying online,general_abuse,1,medium,en,synthetic_template_v1
66,honestly nobody wants to hear from you here every time,harassment,1,high,en,synthetic_template_v1
67,honestly everyone heard that you ruined the assignment in this group,rumor_mockery,1,high,en,synthetic_template_v1
68,listen stop coming back to this page,harassment,1,high,en,synthetic_template_v1
69,seriously that was a very foolish response online,insult,1,medium,en,synthetic_template_v1
70,again you will never complete this project correctly every time,academic_attack,1,medium,en,synthetic_template_v1
71,Stop pretending you understand the research online,academic_attack,1,medium,en,synthetic_template_v1
72,listen get lost you annoying today,general_abuse,1,medium,en,synthetic_template_v1
73,seriously this is the most nonsense code here today,insult,1,medium,en,synthetic_template_v1
74,seriously post another pathetic drawing for us to mock every time,provocation,1,medium,en,synthetic_template_v1
75,again great job on the presentation right now,normal,0,none,en,synthetic_template_v1
76,honestly get lost you ridiculous,general_abuse,1,medium,en,synthetic_template_v1
77,Again people will remember this embarrassing idea in this group,humiliation,1,high,en,synthetic_template_v1
78,have a good day and take care today,normal,0,none,en,synthetic_template_v1
79,Your code is helpful!,normal,0,none,en,synthetic_template_v1
80,again stop posting photos because you look ridiculous in this group,appearance_attack,1,high,en,synthetic_template_v1
