text,label
again this report was useful and interesting right now,0
honestly everyone is laughing at your message online,1
seriously your assignment is helpful right now,0
seriously you explained the project very clearly right now!,0
listen thank you for your helpful assignment today,0
seriously i really liked your opinion,0
stop pretending you understand the opinion today,1
really this drawing was useful and interesting right now,0
seriously well done and keep learning every time!,0
again stop posting photos because you look ugly in this group,1
honestly everyone heard that you ruined the code right now!,1
again great job on the research today,0
have a nice day,0
really this project was useful and interesting every time,0
listen your idea makes no sense at all today,1
honestly great job on the post in this group,0
listen let us improve the presentation together in this group,0
again i really liked your post in this group,0
again people say your design was copied today,1
honestly everyone is tired of seeing your message in this group,1
listen you are acting like a worthless person today,1
really nobody should work with you on the answer online,1
honestly your answer is thoughtful in this group,0
seriously everyone is tired of seeing your code today!,1
honestly you always fail at basic tasks online,1
again keep talking and show everyone how stupid you are in this group.,1
listen thank you for your creative answer online,0
really great job on the post in this group,0
seriously nobody cares about your opinion online,1
seriously nobody cares about your presentation every time,1
honestly great job on the research right now,0
really great job on the opinion every time,0
stop posting such ridiculous things online,1
seriously great job on the project online,0
really you explained the answer very clearly right now,0
again everyone knows you lied about the message in this group,1
really everyone is laughing at your post in this group,1
really please share your design when you are free,0
honestly let us improve the assignment together right now,0
keep going,0
you explained the research very clearly online!,0
seriously your post is well prepared today,0
listen please share your post when you are free every time,0
ur trash,1
again thank you for your clear opinion today,0
thank you for your thoughtful drawing online,0
again nobody cares about your drawing right now,1
listen get lost you annoying right now,1
again great job on the drawing today,0
you explained the code very clearly,0
you embarrassed yourself with that idea today,1
listen you sound useless in this drawing in this group,1
people will joke about the way you look today,1
please share your drawing when you are free right now,0
stop posting such awful things online!,1
honestly stop pretending you understand the presentation every time,1
honestly everyone heard that you ruined the drawing right now,1
you are acting like a pathetic person right now,1
listen you are so clueless online,1
really i disagree with your presentation but i respect your view right now,0
listen you explained the design very clearly every time,0
really i disagree with your research but i respect your view today,0
honestly please share your drawing when you are free in this group,0
let us improve the design together,0
again you are a joke in this group,1
honestly keep talking and show everyone how ridiculous you are in this group,1
seriously great job on the drawing,0
seriously this report was useful and interesting,0
your effort on this assignment is appreciated,0
listen this opinion was useful and interesting every time,0
honestly your report is kind in this group!,0
really great job on the presentation,0
seriously please share your post when you are free in this group,0
seriously i disagree with your idea but i respect your view right now,0
seriously stop posting such poor things,1
really get lost you clueless online,1
seriously this project made you look ridiculous in this group,1
again i really liked your message today,0
seriously keep talking and show everyone how clueless you are,1
listen this opinion made you look ridiculous in this group,1
again i disagree with your code but i respect your view today,0
honestly thank you for your impressive message online,0
honestly your report is well prepared every time,0
again i really liked your design every time,0
